date,open,high,low,close,to symbol,from symbol
2021-05-23,6.4382,6.4416,6.4127,6.4332,CNY,USD
2021-05-16,6.4151,6.4564,6.4149,6.4361,CNY,USD
2021-05-09,6.4728,6.4823,6.4037,6.4315,CNY,USD
2021-05-02,6.4845,6.4894,6.4572,6.4735,CNY,USD
2021-04-25,6.5093,6.5093,6.4774,6.4944,CNY,USD
2021-04-18,6.5479,6.552,6.4978,6.5111,CNY,USD
2021-04-11,6.5659,6.5661,6.533,6.552,CNY,USD
2021-04-04,6.5686,6.5764,6.5435,6.5665,CNY,USD
2021-03-28,6.5063,6.572,6.499,6.5405,CNY,USD
2021-03-21,6.4989,6.5172,6.4829,6.499,CNY,USD
2021-03-14,6.5246,6.5422,6.4716,6.4985,CNY,USD
2021-03-07,6.4632,6.5301,6.4535,6.4957,CNY,USD
2021-02-28,6.4635,6.4807,6.4423,6.4779,CNY,USD
2021-02-21,6.4572,6.4884,6.4409,6.4858,CNY,USD
2021-02-14,6.448,6.4575,6.4278,6.4572,CNY,USD
2021-02-07,6.4675,6.4799,6.4403,6.4657,CNY,USD
2021-01-31,6.4787,6.4924,6.4178,6.4268,CNY,USD
2021-01-24,6.4914,6.4915,6.4509,6.4808,CNY,USD
2021-01-17,6.4797,6.4961,6.4513,6.4797,CNY,USD
2021-01-10,6.4605,6.4906,6.4294,6.4743,CNY,USD
2021-01-03,6.5356,6.5461,6.4578,6.532,CNY,USD
2020-12-27,6.5482,6.5541,6.5196,6.5408,CNY,USD
2020-12-20,6.5497,6.555,6.5194,6.536,CNY,USD
2020-12-13,6.5287,6.5513,6.5144,6.5457,CNY,USD
2020-12-06,6.5778,6.5857,6.5223,6.5306,CNY,USD
2020-11-29,6.5845,6.5935,6.555,6.576,CNY,USD
2020-11-22,6.5838,6.5909,6.5311,6.5619,CNY,USD
2020-11-15,6.6281,6.6324,6.5605,6.6054,CNY,USD
2020-11-08,6.6897,6.7532,6.5719,6.6104,CNY,USD
2020-11-01,6.7113,6.729,6.671,6.6891,CNY,USD
2020-10-25,6.6807,6.7132,6.6376,6.6857,CNY,USD
2020-10-18,6.745,6.7595,6.6744,6.6966,CNY,USD
2020-10-11,6.7898,6.79,6.6923,6.6937,CNY,USD
2020-10-04,6.8108,6.8264,6.789,6.7898,CNY,USD
2020-09-27,6.8037,6.8325,6.7634,6.8228,CNY,USD
2020-09-20,6.8091,6.8095,6.7418,6.768,CNY,USD
2020-09-13,6.8295,6.8549,6.8079,6.8334,CNY,USD
2020-09-06,6.8477,6.8481,6.81,6.8415,CNY,USD
2020-08-30,6.9189,6.9189,6.8345,6.8644,CNY,USD
2020-08-23,6.9318,6.9337,6.8981,6.9185,CNY,USD
2020-08-16,6.9608,6.9611,6.9229,6.9494,CNY,USD
2020-08-09,6.9794,6.9858,6.9327,6.967,CNY,USD
2020-08-02,6.9932,7.0085,6.9644,6.9742,CNY,USD
2020-07-26,6.9823,7.0224,6.9622,7.0161,CNY,USD
2020-07-19,6.9964,7.007,6.9775,6.9912,CNY,USD
2020-07-12,7.0173,7.0252,6.9762,6.992,CNY,USD
2020-07-05,7.0796,7.0803,7.0124,7.0654,CNY,USD
2020-06-28,7.0674,7.0811,7.0511,7.0772,CNY,USD
2020-06-21,7.0908,7.0955,7.0641,7.0713,CNY,USD
2020-06-14,7.0703,7.0971,7.0483,7.0824,CNY,USD
2020-06-07,7.1267,7.1294,7.06,7.081,CNY,USD
2020-05-31,7.1357,7.1769,7.1099,7.1363,CNY,USD
2020-05-24,7.1086,7.1425,7.0835,7.1294,CNY,USD
2020-05-17,7.098,7.1185,7.0787,7.1012,CNY,USD
2020-05-10,7.0615,7.1062,7.0612,7.0731,CNY,USD
2020-05-03,7.0853,7.0891,7.0412,7.0615,CNY,USD
2020-04-26,7.0724,7.0897,7.0567,7.0809,CNY,USD
2020-04-19,7.0516,7.082,7.0401,7.0722,CNY,USD
2020-04-12,7.0913,7.0916,7.0288,7.0351,CNY,USD
2020-04-05,7.0992,7.1061,7.0725,7.0913,CNY,USD
2020-03-29,7.0913,7.12,7.0472,7.0953,CNY,USD
2020-03-22,6.9927,7.1246,6.9819,7.0948,CNY,USD
2020-03-15,6.9456,7.0352,6.9275,7.0072,CNY,USD
2020-03-08,6.9998,6.9999,6.9133,6.9311,CNY,USD
2020-03-01,7.0284,7.0415,6.9516,6.9909,CNY,USD
2020-02-23,6.9793,7.0415,6.9791,7.0262,CNY,USD
2020-02-16,6.9835,6.9871,6.9583,6.9861,CNY,USD
2020-02-09,7.0206,7.0232,6.9521,7.0006,CNY,USD
2020-02-02,6.9357,7.0246,6.9356,6.9357,CNY,USD
2020-01-26,6.8658,6.9357,6.8658,6.9357,CNY,USD
2020-01-19,6.8927,6.9004,6.8398,6.8587,CNY,USD
